Sequence_Name,Label,Probability
ID=sp|P02321||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.505
ID=sp|P69043||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.940
ID=sp|C0HJY0||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.390
ID=sp|Q10726||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.875
ID=sp|P03777||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|Q7M258||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|P86820||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P82654||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.925
ID=sp|A6TXF0||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=dbAMP_11932|Label=1|Type=AVP|Source=dbAMP_AntiHIV|Length=43|Dataset=TS_AVP,AVP,0.750
ID=sp|P0DJZ8||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P49343||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.495
ID=sp|P84702||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.655
ID=sp|P86597||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.365
ID=sp|P30069||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q30TQ4||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|Q5GRU5||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P35002||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q06FN0||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.025
ID=41095|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.775
ID=sp|P69128||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.870
ID=sp|P36962||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.940
ID=sp|P51194||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q55330||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q3V4R4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.110
ID=sp|Q8X3T7||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.070
ID=DRAVPe00416|Label=1|Type=AVP|Source=DRAVP|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|A9IJC3||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=HIP835|Label=1|Type=AVP|Source=HIPdb|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|P80757||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.120
ID=sp|P69836||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.250
ID=sp|P46170||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P84474||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.390
ID=sp|Q9XPS6||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|A4GAN6||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|Q9QAS1||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|C0HK48||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|A6YGD2||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P42991||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.945
ID=sp|P85861||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,non-AVP,0.485
ID=dbAMP_01326|Label=1|Type=AVP|Source=dbAMP_AntiHIV|Length=50|Dataset=TS_AVP,AVP,0.965
ID=sp|Q5UYU5||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=HIP1079|Label=1|Type=AVP|Source=HIPdb|Length=6|Dataset=TS_AVP,AVP,0.935
ID=sp|P37481||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q04236||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|P0DUC4||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P0C893||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,AVP,0.965
ID=sp|Q9TR93||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.865
ID=DRAVPe01685|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.935
ID=sp|Q06J45||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q8WNZ0||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,AVP,0.855
ID=sp|A0A023UBY3||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q9MUS1||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0C8I7||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|P0DTL9||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,1.000
ID=sp|C0HKG3||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P86166||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.910
ID=sp|P86707||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.850
ID=sp|Q6YXR8||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|Q9MTL2||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P0DJZ4||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P22688||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.635
ID=sp|P86158||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.850
ID=sp|P0DV14||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,non-AVP,0.105
ID=sp|P61840||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|Q2NQ68||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q15MS4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q08628||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|C0HL37||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DSM2||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.950
ID=2052|Label=1|Type=AVP|Source=Peptipedia|Length=15|Dataset=TS_AVP,AVP,0.955
ID=HIP603|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.890
ID=sp|A2C7G0||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q54QU3||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|Q1WUH8||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P58490||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.910
ID=sp|P86623||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q6AD18||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P86001||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P0C1R2||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.745
ID=sp|P0DV13||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.985
ID=HIP936|Label=1|Type=AVP|Source=HIPdb|Length=48|Dataset=TS_AVP,AVP,0.575
ID=sp|P0CAI3||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.110
ID=sp|P84533||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|P86613||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.580
ID=sp|P13283||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q0BWX0||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q54DJ6||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|P03794||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|A8MKS4||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P42560||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.355
ID=sp|B3EWL0||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.700
ID=sp|P81736||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.500
ID=sp|P0C164||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.895
ID=sp|B3EWL1||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.470
ID=sp|A1URD8||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P15176||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P86313||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P01203||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.400
ID=sp|P81073||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.105
ID=sp|P41488||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.360
ID=DRAVPe00816|Label=1|Type=AVP|Source=DRAVP|Length=41|Dataset=TS_AVP,AVP,1.000
ID=sp|C0HJC8||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|P0DL26||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P80472||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P19187||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P61232||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.955
ID=sp|Q2J498||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|B8H4S1||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P83575||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.195
ID=sp|P0DM49||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.360
ID=sp|P85018||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P80163||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,0.730
ID=sp|P0DQO6||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.955
ID=14540|Label=1|Type=AVP|Source=Peptipedia|Length=23|Dataset=TS_AVP,AVP,0.965
ID=sp|P61408||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.805
ID=sp|P0DKZ8||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.915
ID=sp|P58608||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,AVP,0.920
ID=sp|Q7LZG3||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.350
ID=sp|Q0GY42||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.705
ID=sp|Q01WB6||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P99507||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.320
ID=sp|P63175||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.925
ID=sp|A5GTV1||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|B0C6T1||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|B3EWC6||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.800
ID=sp|C0HKF3||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.225
ID=DRAVPe01501|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,1.000
ID=sp|P0DTB7||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.305
ID=sp|Q7NJF8||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P0C1R3||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,AVP,0.870
ID=sp|A0A0A0MT89||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.395
ID=sp|Q115B5||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q8TGU0||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|Q7U9L1||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q6YQX6||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P80719||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,AVP,0.975
ID=sp|P85940||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.395
ID=22346|Label=1|Type=AVP|Source=Peptipedia|Length=31|Dataset=TS_AVP,AVP,1.000
ID=dbAMP_02558|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=38|Dataset=TS_AVP,AVP,1.000
ID=sp|P0CAT0||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.640
ID=sp|P20118||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|P80744||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,non-AVP,0.340
ID=sp|B3EWI7||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.340
ID=sp|P0DX47||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q0G9K1||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P30256||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.110
ID=sp|C0HL86||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,AVP,0.640
ID=sp|B1XJ18||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|A6T5L7||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|P83999||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.970
ID=sp|Q1R5B5||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P84780||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.420
ID=sp|P29735||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.340
ID=sp|C0HKF4||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,non-AVP,0.175
ID=DRAVPe00495|Label=1|Type=AVP|Source=DRAVP|Length=11|Dataset=TS_AVP,AVP,0.995
ID=sp|P82070||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,AVP,0.830
ID=sp|P86363||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.175
ID=sp|A0LLH0||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|B3DP23||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P86398||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.935
ID=sp|P68218||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|Q47J81||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|B3EWU9||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.990
ID=sp|P84700||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.545
ID=DRAVPe01937|Label=1|Type=AVP|Source=DRAVP|Length=39|Dataset=TS_AVP,non-AVP,0.030
ID=sp|P68952||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P83669||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,AVP,0.925
ID=sp|P0DL02||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.615
ID=sp|Q3E767||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|C0HKH0||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.995
ID=41091|Label=1|Type=AVP|Source=Peptipedia|Length=18|Dataset=TS_AVP,AVP,0.895
ID=sp|C0HJY8||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,AVP,1.000
ID=CAMPSQ15123|Label=1|Type=AVP|Source=CAMP|Length=12|Dataset=TS_AVP,AVP,0.890
ID=sp|A6QCS0||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q8DVX0||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q82FD9||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P23465||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.165
ID=sp|P20204||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.395
ID=sp|Q8TGL9||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.050
ID=CAMPSQ15086|Label=1|Type=AVP|Source=CAMP|Length=39|Dataset=TS_AVP,AVP,0.985
ID=sp|P05485||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,AVP,0.955
ID=CAMPSQ15117|Label=1|Type=AVP|Source=CAMP|Length=12|Dataset=TS_AVP,non-AVP,0.070
ID=sp|Q3MD07||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P82825||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.985
ID=sp|C0HM26||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,AVP,0.560
ID=sp|Q9ZB82||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P58504||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.955
ID=sp|Q4A8J4||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|Q46GA9||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.095
ID=48302|Label=1|Type=AVP|Source=Peptipedia|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|B5ZCB9||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|C0HJJ3||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|A5UJF2||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|B2US30||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|A0A023IWG2||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.155
ID=sp|C0HM49||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.740
ID=sp|Q1ACH3||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.020
ID=23152|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,AVP,1.000
ID=sp|P41601||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0DSM3||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.780
ID=sp|B8G1Z0||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=DRAVPe01673|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.980
ID=sp|P85646||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.845
ID=sp|Q60378||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.390
ID=DRAVPe00269|Label=1|Type=AVP|Source=DRAVP|Length=38|Dataset=TS_AVP,AVP,0.920
ID=sp|P68420||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,AVP,0.795
ID=sp|B3A0M3||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,1.000
ID=sp|B3A0M7||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P14447||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,non-AVP,0.170
ID=sp|P0CAQ9||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.285
ID=sp|P81570||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P86638||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,AVP,0.965
ID=sp|Q3E801||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P0DL19||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,non-AVP,0.130
ID=sp|P0DUU1||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,1.000
ID=DRAVPe01822|Label=1|Type=AVP|Source=DRAVP|Length=10|Dataset=TS_AVP,AVP,0.945
ID=sp|Q9BP50||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.280
ID=sp|P86847||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,1.000
ID=sp|B3A0M6||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DRD7||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,AVP,0.605
ID=sp|Q9T0V1||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q494B7||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q46490||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.610
ID=sp|A9NEF7||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.045
ID=dbAMP_02781|Label=1|Type=AVP|Source=dbAMP_AntiHIV|Length=28|Dataset=TS_AVP,AVP,1.000
ID=14799|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,non-AVP,0.310
